2026-05-15T10:31:23 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384643.
2026-05-15T10:31:23 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384643: 0 image(s) uploaded to blob.
2026-05-15T10:31:24 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | === API ingest pipeline complete ===
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | Ingested 40 new estimate(s).
2026-05-15T10:31:24 | INFO     | vo-backend | vi_pipeline.folder.EST3000385710/ | START folder=EST3000385710 (VIN=1HTMMAAL8CH539639, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:24 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385710/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.004s | db_write=ok
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385710    0.2s
2026-05-15T10:31:24 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385710: no parts lines — skipping LLM.
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385710    0.1s
2026-05-15T10:31:24 | INFO     | vo-backend | vi_pipeline.folder.EST3000385712/ | START folder=EST3000385712 (VIN=KMHDH4AE0GU474850, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:24 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385712/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385712    0.1s
2026-05-15T10:31:24 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385712: no parts lines — skipping LLM.
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385712    0.1s
2026-05-15T10:31:24 | INFO     | vo-backend | vi_pipeline.folder.EST3000385643/ | START folder=EST3000385643 (VIN=1HTMMAAL8CH539639, License Plate=34B3HF, Odometer=9869.0)
