2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384624: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384629: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384621: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384623: 1 lines, 1 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384620: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384617: 1 lines, 1 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384619: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384616: 1 lines, 1 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384613: 1 lines, 1 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384612: 2 lines, 3 subtotals, CDR bdy_rate=55.55
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.estimate_loader | API load complete: 59 line rows, 252 subtotal rows, 39 unique est_ids
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.estimate_loader | Saved est_line_df to container.backup_api_est_line
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.estimate_loader | Saved subtot_df to container.backup_api_est_subtot
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | Estimate data loaded: 59 line rows, 252 subtotal rows.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385153...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:31 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385153.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385153: 0 image(s) uploaded to blob.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385150...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:31 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385150.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385150: 0 image(s) uploaded to blob.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385152...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:31 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385152.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385152: 0 image(s) uploaded to blob.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385149...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:31 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385149.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385149: 0 image(s) uploaded to blob.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385148...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:31 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385148.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385148: 0 image(s) uploaded to blob.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385146...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:31 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385146.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385146: 0 image(s) uploaded to blob.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385145...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:31 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385145.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385145: 0 image(s) uploaded to blob.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385084...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 1 attachment(s).
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Downloading: testPdf.pdf (ID: 3000274262)
2026-05-12T21:20:31 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385084/testPdf.pdf
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Uploaded 1/1 image(s) to blob folder EST3000385084.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385084: 1 image(s) uploaded to blob.
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385083...
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Found 1 attachment(s).
2026-05-12T21:20:31 | INFO     | vo-backend | api_ingest.image_loader | Downloading: testPdf.pdf (ID: 3000274260)
2026-05-12T21:20:32 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385083/testPdf.pdf
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Uploaded 1/1 image(s) to blob folder EST3000385083.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385083: 1 image(s) uploaded to blob.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385082...
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Found 1 attachment(s).
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Downloading: testPdf.pdf (ID: 3000274259)
2026-05-12T21:20:32 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385082/testPdf.pdf
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Uploaded 1/1 image(s) to blob folder EST3000385082.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385082: 1 image(s) uploaded to blob.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384886...
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:32 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384886.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384886: 0 image(s) uploaded to blob.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384888...
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:32 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384888.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384888: 0 image(s) uploaded to blob.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384884...
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:32 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384884.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384884: 0 image(s) uploaded to blob.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384826...
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Found 1 attachment(s).
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Downloading: testPdf.pdf (ID: 3000274201)
2026-05-12T21:20:32 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000384826/testPdf.pdf
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Uploaded 1/1 image(s) to blob folder EST3000384826.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384826: 1 image(s) uploaded to blob.
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384824...
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Found 1 attachment(s).
2026-05-12T21:20:32 | INFO     | vo-backend | api_ingest.image_loader | Downloading: testPdf.pdf (ID: 3000274199)
2026-05-12T21:20:33 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000384824/testPdf.pdf
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Uploaded 1/1 image(s) to blob folder EST3000384824.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384824: 1 image(s) uploaded to blob.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384822...
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Found 1 attachment(s).
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Downloading: testPdf.pdf (ID: 3000274198)
2026-05-12T21:20:33 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000384822/testPdf.pdf
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Uploaded 1/1 image(s) to blob folder EST3000384822.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384822: 1 image(s) uploaded to blob.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000385029...
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Found 1 attachment(s).
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Downloading: testPdf.pdf (ID: 3000274234)
2026-05-12T21:20:33 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385029/testPdf.pdf
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Uploaded 1/1 image(s) to blob folder EST3000385029.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385029: 1 image(s) uploaded to blob.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384673...
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:33 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384673.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384673: 0 image(s) uploaded to blob.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384667...
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:33 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384667.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384667: 0 image(s) uploaded to blob.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384658...
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:33 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384658.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384658: 0 image(s) uploaded to blob.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384643...
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:33 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384643.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384643: 0 image(s) uploaded to blob.
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Fetching image list for est_id=3000384642...
2026-05-12T21:20:33 | INFO     | vo-backend | api_ingest.image_loader | Found 0 attachment(s).
2026-05-12T21:20:33 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384642.
